pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
grey-grigio,0.6571428571428571,EN,IT,28,7,6,"['bn:00041514n', 'bn:00041510n', 'bn:00103764a', 'bn:00455573n', 'bn:00103765a', 'bn:00103766a']"
hall-hall,0.8536585365853658,EN,ES,37,4,3,"['bn:00004493n', 'bn:01243166n', 'bn:00042663n']"
joint-conjoint,0.9166666666666666,EN,FR,22,2,1,['bn:00105540a']
link-enlace,0.8918918918918919,IT,ES,12,25,2,"['bn:00045513n', 'bn:00294469n']"
major-majeur,0.9642857142857143,EN,FR,50,6,1,['bn:00106333a']
man-hombre,0.7910447761194029,EN,ES,52,15,7,"['bn:03478581n', 'bn:00053100n', 'bn:00045153n', 'bn:00044576n', 'bn:00053096n', 'bn:00001533n', 'bn:00053097n']"
mate-mate,0.7948717948717948,EN,ES,21,18,4,"['bn:00045923n', 'bn:00018014n', 'bn:14936753n', 'bn:00053796n']"
misura-medir,0.8947368421052632,IT,ES,14,5,1,['bn:00054019n']
medium-moyen,0.9069767441860465,EN,FR,32,11,2,"['bn:00054149n', 'bn:00097857a']"
meet-incontrarsi,0.8333333333333334,EN,IT,21,3,2,"['bn:00082846v', 'bn:00087599v']"
mind-esprit,0.8604651162790697,EN,FR,26,17,3,"['bn:00012681n', 'bn:00047020n', 'bn:00055105n']"
mount-monte,0.9655172413793104,EN,ES,23,35,1,['bn:00056068n']
natural-natural,0.5714285714285714,EN,ES,35,21,12,"['bn:00057017n', 'bn:00107154a', 'bn:00107153a', 'bn:00105934a', 'bn:00107156a', 'bn:22323923n', 'bn:00107151a', 'bn:00107157a', 'bn:03208102n', 'bn:00107155a', 'bn:00107152a', 'bn:00015177n']"
nota-nota,0.5238095238095238,IT,ES,11,10,5,"['bn:00035726n', 'bn:00010422n', 'bn:00056463n', 'bn:00004350n', 'bn:00058145n']"
patch-correctif,0.9333333333333333,EN,FR,27,3,1,['bn:00060970n']
pole-palo,0.9487179487179487,EN,IT,27,12,1,['bn:00063293n']
positivo-positif,0.7272727272727273,ES,FR,8,14,3,"['bn:00063716n', 'bn:00096605a', 'bn:00108822a']"
process-processus,0.7407407407407407,EN,FR,43,11,7,"['bn:03211034n', 'bn:00062167n', 'bn:16488917n', 'bn:03245758n', 'bn:00064536n', 'bn:01768982n', 'bn:00020457n']"
quiet-tranquillo,0.8823529411764706,EN,IT,26,8,2,"['bn:00109359a', 'bn:00109358a']"
rank-rang,0.84,EN,FR,31,19,4,"['bn:02011855n', 'bn:03201478n', 'bn:00054281n', 'bn:00066154n']"
reach-llegar a,0.9545454545454546,EN,ES,40,4,1,['bn:00082901v']
real-reale,0.7818181818181819,ES,IT,44,11,6,"['bn:00102543a', 'bn:00109969a', 'bn:03730233n', 'bn:00109497a', 'bn:00096397a', 'bn:00109494a']"
ricevere-recevoir,0.7,IT,FR,9,11,3,"['bn:00091603v', 'bn:00089246v', 'bn:00088208v']"
report-rapporto,0.8823529411764706,EN,IT,19,15,2,"['bn:00000739n', 'bn:00067181n']"
rich-ricco,0.9487179487179487,EN,IT,31,8,1,['bn:00109833a']
sacco-sac,0.8571428571428571,IT,FR,19,9,2,"['bn:00007922n', 'bn:00016261n']"
seed-seme,0.8222222222222222,EN,IT,38,7,4,"['bn:00020895n', 'bn:00874731n', 'bn:00070253n', 'bn:00040284n']"
sink-lavello,0.92,EN,IT,21,4,1,['bn:00071766n']
piccolo-petit,0.8064516129032258,IT,FR,10,21,3,"['bn:00058715n', 'bn:00106058a', 'bn:00106773a']"
spare-repuesto,0.8,EN,ES,14,6,2,"['bn:00073120n', 'bn:00073121n']"
spin-rotation,0.96875,EN,FR,55,9,1,['bn:00068323n']
splash-schizzo,0.9555555555555556,EN,IT,40,5,1,['bn:00073161n']
superior-superiore,0.7073170731707317,ES,IT,32,9,6,"['bn:00111466a', 'bn:00077607n', 'bn:00075255n', 'bn:00111465a', 'bn:00044104n', 'bn:00113424a']"
riprendere-prendre,0.9523809523809523,IT,FR,13,29,1,['bn:00088192v']
taste-gusto,0.7727272727272727,EN,IT,34,10,5,"['bn:00061333n', 'bn:00035137n', 'bn:00042272n', 'bn:01243131n', 'bn:00042275n']"
test-prueba,0.7021276595744681,FR,ES,19,28,7,"['bn:00068548n', 'bn:00032095n', 'bn:00032089n', 'bn:00076648n', 'bn:00076649n', 'bn:00076647n', 'bn:02436085n']"
thick-épais,0.5789473684210527,EN,FR,15,4,4,"['bn:00054889n', 'bn:00100113a', 'bn:00101051a', 'bn:00111824a']"
thin-fino,0.9428571428571428,EN,ES,18,17,1,['bn:00111843a']
thrust-poussée,0.8333333333333334,EN,FR,21,3,2,"['bn:21705868n', 'bn:00065343n']"
tumble-ruzzolare,-1.0,ES,IT,1,1,0,[]
union-syndicat,0.9848484848484849,EN,FR,124,8,1,['bn:00013379n']
use-utiliser,0.84,EN,FR,22,3,2,"['bn:00082705v', 'bn:00082711v']"
vista-ver,0.9661016949152542,IT,ES,21,38,1,['bn:00009669n']
visit-visita,0.75,EN,IT,20,4,3,"['bn:00080112n', 'bn:00072662n', 'bn:00080111n']"
voice-voz,0.7272727272727273,EN,ES,50,16,9,"['bn:24235111n', 'bn:00080190n', 'bn:00062019n', 'bn:00080191n', 'bn:00072788n', 'bn:00080185n', 'bn:00047203n', 'bn:00080189n', 'bn:00060770n']"
watch-orologio,0.9024390243902439,EN,IT,31,10,2,"['bn:00081700n', 'bn:00077172n']"
modo-camino,0.875,IT,ES,21,27,3,"['bn:00027352n', 'bn:00061005n', 'bn:00001965n']"
wrong-sbagliato,0.8125,EN,IT,26,6,3,"['bn:00104880a', 'bn:00113959a', 'bn:00104708a']"
