pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
jack-jack,0.7954545454545454,EN,IT,77,11,9,"['bn:02387438n', 'bn:02258018n', 'bn:01616011n', 'bn:00047798n', 'bn:01434252n', 'bn:01912125n', 'bn:15172615n', 'bn:03552332n', 'bn:01301988n']"
kick-calcio,0.9591836734693877,EN,IT,39,10,1,['bn:00012171n']
life-vida,0.8205128205128205,EN,ES,124,32,14,"['bn:00051045n', 'bn:00051047n', 'bn:00051052n', 'bn:00051048n', 'bn:00021477n', 'bn:00051046n', 'bn:00051049n', 'bn:00051050n', 'bn:00010534n', 'bn:00002761n', 'bn:00051054n', 'bn:00051051n', 'bn:00051053n', 'bn:00051055n']"
load-charge,0.8,EN,FR,22,18,4,"['bn:01484814n', 'bn:00013941n', 'bn:00051672n', 'bn:00013942n']"
look-regarder,0.9069767441860465,EN,FR,30,13,2,"['bn:00090448v', 'bn:00051968n']"
march-marzo,0.9487179487179487,EN,ES,38,1,1,['bn:00053318n']
mold-stampo,0.8,EN,IT,23,7,3,"['bn:21705879n', 'bn:00016565n', 'bn:00016527n']"
nose-naso,0.9333333333333333,EN,IT,22,8,1,['bn:00058117n']
opening-apertura,0.6875,EN,ES,19,13,5,"['bn:00037278n', 'bn:00059095n', 'bn:00059098n', 'bn:00018203n', 'bn:00059094n']"
outside-all'esterno,-1.0,EN,IT,42,0,0,[]
pit-foso,0.9354838709677419,EN,ES,28,3,1,['bn:00016896n']
plug-spina,0.9444444444444444,EN,IT,24,12,1,['bn:00030158n']
porto-puerto,0.7837837837837838,IT,ES,22,15,4,"['bn:00050001n', 'bn:00042918n', 'bn:00063641n', 'bn:00063640n']"
project-projet,0.8709677419354839,EN,FR,19,12,2,"['bn:00049573n', 'bn:00064665n']"
raw-brut,0.9682539682539683,EN,FR,54,9,1,['bn:00003154n']
render-rendering,0.5,ES,IT,1,3,1,['bn:21706056n']
reverse-inverso,0.9411764705882353,EN,IT,27,7,1,['bn:00022257n']
segreto-secreto,0.7333333333333333,IT,ES,12,18,4,"['bn:00099743a', 'bn:00021525n', 'bn:00070159n', 'bn:00110253a']"
shade-ombra,0.8947368421052632,EN,IT,40,17,3,"['bn:00040368n', 'bn:00070820n', 'bn:00070830n']"
shaft-arbre,0.96,EN,FR,36,14,1,['bn:00068327n']
side-lateral,0.9583333333333334,EN,ES,32,16,1,['bn:00110607a']
décrochage-puesto,0.8947368421052632,FR,ES,3,16,1,['bn:00012180n']
stuff-cosas,0.8823529411764706,EN,ES,29,5,2,"['bn:00074798n', 'bn:00053801n']"
subject-tema,0.7727272727272727,EN,ES,26,18,5,"['bn:00007985n', 'bn:00074900n', 'bn:00045803n', 'bn:00047690n', 'bn:00022157n']"
switch-interruttore,0.9714285714285714,EN,IT,67,3,1,['bn:00030170n']
togliere-sacar,0.9148936170212766,IT,ES,5,42,2,"['bn:00092783v', 'bn:00094748v']"
think-pensare,0.8222222222222222,EN,IT,30,15,4,"['bn:00094909v', 'bn:00084733v', 'bn:00089105v', 'bn:00083370v']"
tip-consejo,0.9574468085106383,EN,ES,35,12,1,['bn:00021747n']
trace-traccia,0.9583333333333334,EN,IT,39,9,1,['bn:03179899n']
up-arriba,0.972972972972973,EN,ES,59,15,1,['bn:00117524r']
wave-onda,0.9076923076923077,EN,ES,55,10,3,"['bn:00079036n', 'bn:00079034n', 'bn:00056171n']"
young-joven,0.9365079365079365,EN,ES,51,12,2,"['bn:00081947n', 'bn:00104589a']"
