pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
cry-piangere,0.9354838709677419,EN,IT,57,5,2,"['bn:00024158n', 'bn:00086122v']"
dash-guión,0.9534883720930233,EN,ES,34,9,1,['bn:00025288n']
date-data,0.6666666666666666,FR,IT,14,10,4,"['bn:00025342n', 'bn:00025340n', 'bn:00025341n', 'bn:00025336n']"
difesa-defensa,0.7560975609756098,IT,ES,16,25,5,"['bn:00001602n', 'bn:00025876n', 'bn:00025877n', 'bn:00025871n', 'bn:00025878n']"
consegnare-Entregar,0.9354838709677419,IT,ES,2,29,1,['bn:00086531v']
deposit-dépôt,0.6875,EN,FR,18,14,5,"['bn:00026375n', 'bn:00026379n', 'bn:00026374n', 'bn:00026380n', 'bn:00008382n']"
dissolve-disolver,0.6,EN,ES,19,6,5,"['bn:00087044v', 'bn:00083996v', 'bn:00027737n', 'bn:00086994v', 'bn:00087040v']"
division-división,0.5121951219512195,FR,ES,20,21,10,"['bn:03090733n', 'bn:00027914n', 'bn:00027919n', 'bn:00019480n', 'bn:00027911n', 'bn:00019680n', 'bn:00027912n', 'bn:00027920n', 'bn:00027913n', 'bn:00027915n']"
dock-molo,0.9333333333333333,EN,IT,22,8,1,['bn:00027982n']
extension-extensión,0.47540983606557374,FR,ES,24,37,16,"['bn:00047346n', 'bn:00067461n', 'bn:00026413n', 'bn:00067794n', 'bn:00035195n', 'bn:00001315n', 'bn:00019206n', 'bn:00032416n', 'bn:00013761n', 'bn:00064716n', 'bn:00075313n', 'bn:00032412n', 'bn:00000267n', 'bn:00026251n', 'bn:00032043n', 'bn:00000265n']"
feed-alimentation,0.9375,EN,FR,24,8,1,['bn:00035650n']
flag-bandiera,0.9459459459459459,EN,IT,28,9,1,['bn:00034960n']
flick-sfarfallare,-1.0,ES,IT,0,1,0,[]
flight-volo,0.92,EN,IT,38,12,2,"['bn:00035209n', 'bn:00035207n']"
floor-suelo,0.8125,EN,ES,17,15,3,"['bn:00035308n', 'bn:03701486n', 'bn:00035304n']"
focus-focus,0.76,EN,IT,65,10,9,"['bn:01434240n', 'bn:17588879n', 'bn:15159811n', 'bn:03680655n', 'bn:01246298n', 'bn:01711274n', 'bn:00035558n', 'bn:03557476n', 'bn:09045791n']"
fold-plier,0.7647058823529411,EN,FR,15,2,2,"['bn:00088411v', 'bn:00035589n']"
forward-avant,0.9642857142857143,EN,FR,46,10,1,['bn:14503893n']
give up-rinunciare,0.9,EN,IT,18,2,1,['bn:00084958v']
glass-vetro,0.9545454545454546,EN,IT,39,5,1,['bn:00040605n']
glow-resplandor,0.9333333333333333,EN,ES,52,8,2,"['bn:00040745n', 'bn:00040636n']"
Aiuto-aider,0.8571428571428571,IT,FR,6,8,1,['bn:00002154n']
attelage-enganche,0.8181818181818182,FR,ES,7,4,1,['bn:27268585n']
horn-bocina,0.9047619047619048,EN,ES,36,6,2,"['bn:00044776n', 'bn:00044781n']"
solo-juste,0.9622641509433962,IT,FR,44,9,1,['bn:00114626r']
know-savoir,0.7777777777777778,EN,FR,19,8,3,"['bn:00090141v', 'bn:00090142v', 'bn:00085261v']"
long-largo,0.8064516129032258,FR,ES,12,19,3,"['bn:00106124a', 'bn:00106125a', 'bn:00106129a']"
minor-minore,0.8378378378378378,EN,IT,28,9,3,"['bn:01977780n', 'bn:00018345n', 'bn:00106764a']"
miss-miss,-1.0,EN,IT,15,1,0,[]
negativo-negativo,0.6363636363636364,IT,ES,3,8,2,"['bn:00107198a', 'bn:00057190n']"
net-red,0.9,FR,ES,7,33,2,"['bn:00276756n', 'bn:00054497n']"
passing-passaggio,0.8974358974358975,EN,IT,23,16,2,"['bn:00060872n', 'bn:00060887n']"
retribuzione-pagar,0.9047619047619048,IT,ES,6,15,1,['bn:00029416n']
image-foto,0.9166666666666666,FR,ES,20,4,1,['bn:00045772n']
pinch-pellizcar,0.7857142857142857,EN,ES,23,5,3,"['bn:00091064v', 'bn:00091639v', 'bn:00091640v']"
prime-prime,0.9473684210526315,EN,ES,36,2,1,['bn:02168916n']
proof-prueba,0.8709677419354839,EN,ES,34,28,4,"['bn:00064724n', 'bn:00064728n', 'bn:00053828n', 'bn:00064727n']"
puddle-pozzanghera,0.875,EN,IT,14,2,1,['bn:00063537n']
queen-regina,0.84,EN,IT,73,27,8,"['bn:00065644n', 'bn:03380459n', 'bn:00065635n', 'bn:00034025n', 'bn:00065637n', 'bn:00065634n', 'bn:00065638n', 'bn:00024097n']"
read-leggere,0.7419354838709677,EN,IT,26,5,4,"['bn:00092427v', 'bn:00092426v', 'bn:00092428v', 'bn:00092424v']"
recall-retirada,0.9285714285714286,EN,ES,17,11,1,['bn:00066477n']
record-registro,0.7777777777777778,IT,ES,9,27,4,"['bn:00027454n', 'bn:00066574n', 'bn:00068426n', 'bn:00066575n']"
ruffle-volante,0.9166666666666666,EN,ES,13,11,1,['bn:00035357n']
ruin-rovina,0.8333333333333334,EN,IT,25,11,3,"['bn:00050312n', 'bn:00068520n', 'bn:00068521n']"
save-guardar,0.8974358974358975,EN,ES,23,16,2,"['bn:00090229v', 'bn:00091983v']"
say-dire,0.6666666666666666,EN,FR,31,23,9,"['bn:00093287v', 'bn:00093290v', 'bn:00093293v', 'bn:00082527v', 'bn:00093292v', 'bn:00087644v', 'bn:00093291v', 'bn:00093288v', 'bn:00092425v']"
shadow-ombra,0.8518518518518519,EN,IT,64,17,6,"['bn:17622528n', 'bn:00025235n', 'bn:00070830n', 'bn:00070831n', 'bn:08922239n', 'bn:00070820n']"
silver-argent,0.8571428571428571,EN,FR,55,15,5,"['bn:00005568n', 'bn:00071625n', 'bn:00001887n', 'bn:00006313n', 'bn:00071661n']"
skin-piel,0.8717948717948718,EN,ES,64,14,5,"['bn:00024643n', 'bn:16082647n', 'bn:00061258n', 'bn:00044002n', 'bn:00033994n']"
smack-smack,0.9090909090909091,EN,IT,20,2,1,['bn:00072256n']
smooth-suave,0.9574468085106383,EN,ES,27,20,1,['bn:00110803a']
star-stella,0.8767123287671232,EN,IT,114,32,9,"['bn:00000790n', 'bn:16046732n', 'bn:00073964n', 'bn:00016990n', 'bn:02485403n', 'bn:00073966n', 'bn:03087731n', 'bn:00050346n', 'bn:03709168n']"
style-style,0.6140350877192983,EN,FR,41,16,11,"['bn:17425781n', 'bn:00074836n', 'bn:00035925n', 'bn:00032400n', 'bn:02106754n', 'bn:00074832n', 'bn:00074835n', 'bn:00033729n', 'bn:00025285n', 'bn:00074831n', 'bn:00074834n']"
tack-virata,0.9166666666666666,EN,IT,18,6,1,['bn:00075855n']
tease-burlarse,0.92,EN,ES,16,9,1,['bn:00083038v']
thing-chose,0.5135135135135135,EN,FR,18,19,9,"['bn:00076923n', 'bn:00076921n', 'bn:00076919n', 'bn:00076922n', 'bn:01260156n', 'bn:00076918n', 'bn:00001734n', 'bn:03630544n', 'bn:00076925n']"
title-titolo,0.7777777777777778,EN,IT,22,14,4,"['bn:00035925n', 'bn:00077410n', 'bn:00068477n', 'bn:00077409n']"
tough-dur,0.9375,EN,FR,23,9,1,['bn:00103943a']
trade-commerce,0.8260869565217391,EN,FR,24,22,4,"['bn:00023496n', 'bn:00077860n', 'bn:00014152n', 'bn:00008735n']"
piège-trampa,0.8888888888888888,FR,ES,20,16,2,"['bn:00078068n', 'bn:00019618n']"
trip-viaggio,0.9322033898305084,EN,IT,46,13,2,"['bn:00078318n', 'bn:00078319n']"
trust-fiducia,0.9230769230769231,EN,IT,65,13,3,"['bn:00078487n', 'bn:00032769n', 'bn:00078488n']"
turn out-resultar,0.9130434782608695,EN,ES,12,11,1,['bn:00095259v']
warm-caldo,0.9411764705882353,EN,IT,24,10,1,['bn:00113698a']
weak-debole,0.9393939393939394,EN,IT,24,9,1,['bn:00113737a']
wear-usura,0.92,EN,IT,19,6,1,['bn:00080751n']
wing-ala,0.8529411764705882,EN,ES,40,28,5,"['bn:00081337n', 'bn:00081336n', 'bn:00081338n', 'bn:00081342n', 'bn:00004331n']"
se retirer-retirar,0.8461538461538461,FR,ES,4,22,2,"['bn:00092941v', 'bn:00087267v']"
